Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile,,,,,,,
Barking and Dagenham,Room,20,751,504,617,792,,,,,,,
Barking and Dagenham,Studio,10,723,650,730,750,,,,,,,
Barking and Dagenham,One Bedroom,170,981,900,"1,000","1,050",,,,,,,
Barking and Dagenham,Two Bedrooms,280,"1,207","1,125","1,200","1,300",,,,,,,
Barking and Dagenham,Three Bedrooms,170,"1,441","1,350","1,400","1,550",,,,,,,
Barking and Dagenham,Four or More Bedrooms,30,"1,655","1,550","1,675","1,800",,,,,,,
Barnet,Room,-,..,..,..,..,,,,,,,
Barnet,Studio,70,903,800,900,997,,,,,,,
Barnet,One Bedroom,390,"1,165","1,065","1,150","1,250",,,,,,,
Barnet,Two Bedrooms,810,"1,410","1,300","1,400","1,500",,,,,,,
Barnet,Three Bedrooms,280,"1,796","1,605","1,799","1,950",,,,,,,
Barnet,Four or More Bedrooms,120,"2,594","2,100","2,413","3,000",,,,,,,
Bexley,Room,20,470,392,442,522,,,,,,,
Bexley,Studio,30,688,650,700,725,,,,,,,
Bexley,One Bedroom,190,854,775,850,925,,,,,,,
Bexley,Two Bedrooms,330,"1,105",995,"1,100","1,200",,,,,,,
Bexley,Three Bedrooms,200,"1,281","1,150","1,300","1,400",,,,,,,
Bexley,Four or More Bedrooms,70,"1,724","1,320","1,550","1,850",,,,,,,
Brent,Room,70,623,550,600,700,,,,,,,
Brent,Studio,100,926,825,910,"1,042",,,,,,,
Brent,One Bedroom,190,"1,194","1,100","1,200","1,300",,,,,,,
Brent,Two Bedrooms,360,"1,449","1,300","1,447","1,550",,,,,,,
Brent,Three Bedrooms,250,"1,826","1,700","1,775","1,907",,,,,,,
Brent,Four or More Bedrooms,140,"2,210","1,900","2,100","2,450",,,,,,,
Bromley,Room,10,524,442,495,627,,,,,,,
Bromley,Studio,40,783,745,800,850,,,,,,,
Bromley,One Bedroom,480,"1,004",900,"1,000","1,100",,,,,,,
Bromley,Two Bedrooms,750,"1,256","1,150","1,250","1,350",,,,,,,
Bromley,Three Bedrooms,300,"1,592","1,400","1,550","1,700",,,,,,,
Bromley,Four or More Bedrooms,150,"2,274","1,813","2,000","2,500",,,,,,,
Camden,Room,20,"1,144",884,975,"1,450",,,,,,,
Camden,Studio,120,"1,072",900,"1,000","1,127",,,,,,,
Camden,One Bedroom,300,"1,640","1,278","1,508","1,895",,,,,,,
Camden,Two Bedrooms,240,"2,254","1,733","2,150","2,680",,,,,,,
Camden,Three Bedrooms,90,"2,880","2,150","2,492","3,337",,,,,,,
Camden,Four or More Bedrooms,60,"3,982","2,860","3,400","4,008",,,,,,,
City of London,Room,0,.,.,.,.,,,,,,,
City of London,Studio,-,..,..,..,..,,,,,,,
City of London,One Bedroom,10,"2,071","1,647","1,998","2,385",,,,,,,
City of London,Two Bedrooms,-,..,..,..,..,,,,,,,
City of London,Three Bedrooms,-,..,..,..,..,,,,,,,
City of London,Four or More Bedrooms,0,.,.,.,.,,,,,,,
Croydon,Room,100,556,467,537,637,,,,,,,
Croydon,Studio,90,757,700,755,800,,,,,,,
Croydon,One Bedroom,570,963,875,950,"1,025",,,,,,,
Croydon,Two Bedrooms,710,"1,214","1,100","1,200","1,300",,,,,,,
Croydon,Three Bedrooms,260,"1,440","1,325","1,450","1,575",,,,,,,
Croydon,Four or More Bedrooms,100,"1,940","1,750","1,873","2,100",,,,,,,
Ealing,Room,120,798,642,750,942,,,,,,,
Ealing,Studio,140,907,802,900,995,,,,,,,
Ealing,One Bedroom,670,"1,238","1,100","1,250","1,350",,,,,,,
Ealing,Two Bedrooms,870,"1,531","1,350","1,495","1,650",,,,,,,
Ealing,Three Bedrooms,400,"1,955","1,600","1,850","2,147",,,,,,,
Ealing,Four or More Bedrooms,220,"2,804","2,200","2,500","3,000",,,,,,,
Enfield,Room,0,.,.,.,.,,,,,,,
Enfield,Studio,30,844,800,850,900,,,,,,,
Enfield,One Bedroom,140,978,900,950,"1,070",,,,,,,
Enfield,Two Bedrooms,210,"1,301","1,200","1,300","1,395",,,,,,,
Enfield,Three Bedrooms,120,"1,575","1,450","1,543","1,700",,,,,,,
Enfield,Four or More Bedrooms,40,"1,991","1,570","1,826","2,250",,,,,,,
Greenwich,Room,20,714,560,708,817,,,,,,,
Greenwich,Studio,30,957,750,850,"1,050",,,,,,,
Greenwich,One Bedroom,320,"1,238","1,100","1,250","1,375",,,,,,,
Greenwich,Two Bedrooms,540,"1,476","1,250","1,400","1,650",,,,,,,
Greenwich,Three Bedrooms,250,"1,777","1,450","1,650","2,000",,,,,,,
Greenwich,Four or More Bedrooms,80,"2,205","1,650","2,200","2,600",,,,,,,
Hackney,Room,-,..,..,..,..,,,,,,,
Hackney,Studio,50,"1,045",960,"1,000","1,148",,,,,,,
Hackney,One Bedroom,460,"1,471","1,300","1,425","1,675",,,,,,,
Hackney,Two Bedrooms,610,"1,816","1,550","1,750","2,058",,,,,,,
Hackney,Three Bedrooms,210,"2,427","2,024","2,400","2,812",,,,,,,
Hackney,Four or More Bedrooms,100,"3,159","2,800","3,200","3,550",,,,,,,
Hammersmith and Fulham,Room,10,658,580,600,700,,,,,,,
Hammersmith and Fulham,Studio,130,"1,115",975,"1,111","1,200",,,,,,,
Hammersmith and Fulham,One Bedroom,680,"1,464","1,300","1,408","1,582",,,,,,,
Hammersmith and Fulham,Two Bedrooms,660,"1,918","1,603","1,842","2,145",,,,,,,
Hammersmith and Fulham,Three Bedrooms,230,"2,645","2,167","2,492","2,999",,,,,,,
Hammersmith and Fulham,Four or More Bedrooms,160,"4,760","3,497","4,116","5,513",,,,,,,
Haringey,Room,10,651,617,675,700,,,,,,,
Haringey,Studio,30,928,832,932,"1,020",,,,,,,
Haringey,One Bedroom,150,"1,288","1,150","1,295","1,400",,,,,,,
Haringey,Two Bedrooms,230,"1,599","1,400","1,517","1,725",,,,,,,
Haringey,Three Bedrooms,80,"2,013","1,750","1,986","2,200",,,,,,,
Haringey,Four or More Bedrooms,70,"2,538","1,733","2,400","3,150",,,,,,,
Harrow,Room,10,593,517,571,725,,,,,,,
Harrow,Studio,40,866,800,873,950,,,,,,,
Harrow,One Bedroom,110,"1,053",950,"1,050","1,161",,,,,,,
Harrow,Two Bedrooms,200,"1,345","1,250","1,350","1,450",,,,,,,
Harrow,Three Bedrooms,210,"1,649","1,550","1,650","1,750",,,,,,,
Harrow,Four or More Bedrooms,90,"2,053","1,800","1,950","2,300",,,,,,,
Havering,Room,20,574,492,574,617,,,,,,,
Havering,Studio,10,669,600,700,715,,,,,,,
Havering,One Bedroom,170,891,815,900,950,,,,,,,
Havering,Two Bedrooms,270,"1,120","1,000","1,100","1,200",,,,,,,
Havering,Three Bedrooms,250,"1,384","1,300","1,375","1,500",,,,,,,
Havering,Four or More Bedrooms,50,"1,714","1,500","1,655","1,800",,,,,,,
Hillingdon,Room,40,701,525,600,692,,,,,,,
Hillingdon,Studio,90,758,700,750,808,,,,,,,
Hillingdon,One Bedroom,340,"1,059",925,"1,000","1,155",,,,,,,
Hillingdon,Two Bedrooms,520,"1,277","1,195","1,275","1,400",,,,,,,
Hillingdon,Three Bedrooms,220,"1,435","1,278","1,400","1,600",,,,,,,
Hillingdon,Four or More Bedrooms,100,"1,946","1,675","1,857","2,200",,,,,,,
Hounslow,Room,50,785,550,650,700,,,,,,,
Hounslow,Studio,90,812,750,775,875,,,,,,,
Hounslow,One Bedroom,400,"1,162","1,000","1,100","1,313",,,,,,,
Hounslow,Two Bedrooms,530,"1,388","1,200","1,300","1,500",,,,,,,
Hounslow,Three Bedrooms,250,"1,725","1,450","1,650","1,850",,,,,,,
Hounslow,Four or More Bedrooms,110,"2,610","1,750","2,125","2,800",,,,,,,
Islington,Room,-,..,..,..,..,,,,,,,
Islington,Studio,20,"1,379","1,159","1,309","1,660",,,,,,,
Islington,One Bedroom,180,"1,565","1,365","1,517","1,729",,,,,,,
Islington,Two Bedrooms,180,"2,022","1,650","1,842","2,123",,,,,,,
Islington,Three Bedrooms,40,"2,450","2,190","2,343","2,654",,,,,,,
Islington,Four or More Bedrooms,30,"3,537","2,820","3,402","3,943",,,,,,,
Kensington and Chelsea,Room,-,..,..,..,..,,,,,,,
Kensington and Chelsea,Studio,150,"1,427","1,278","1,408","1,560",,,,,,,
Kensington and Chelsea,One Bedroom,570,"2,072","1,712","1,950","2,275",,,,,,,
Kensington and Chelsea,Two Bedrooms,670,"3,024","2,275","2,708","3,358",,,,,,,
Kensington and Chelsea,Three Bedrooms,190,"5,027","3,575","4,588","5,417",,,,,,,
Kensington and Chelsea,Four or More Bedrooms,80,"7,585","4,983","6,717","9,750",,,,,,,
Kingston upon Thames,Room,130,514,492,506,550,,,,,,,
Kingston upon Thames,Studio,30,853,800,870,900,,,,,,,
Kingston upon Thames,One Bedroom,220,"1,100","1,000","1,078","1,175",,,,,,,
Kingston upon Thames,Two Bedrooms,350,"1,366","1,225","1,350","1,450",,,,,,,
Kingston upon Thames,Three Bedrooms,140,"1,706","1,475","1,698","1,900",,,,,,,
Kingston upon Thames,Four or More Bedrooms,70,"2,398","1,898","2,200","2,553",,,,,,,
Lambeth,Room,10,662,598,663,763,,,,,,,
Lambeth,Studio,30,"1,154",895,"1,125","1,350",,,,,,,
Lambeth,One Bedroom,330,"1,530","1,324","1,497","1,716",,,,,,,
Lambeth,Two Bedrooms,520,"1,711","1,450","1,650","1,905",,,,,,,
Lambeth,Three Bedrooms,190,"2,426","1,998","2,317","2,648",,,,,,,
Lambeth,Four or More Bedrooms,90,"3,159","2,600","3,175","3,600",,,,,,,
Lewisham,Room,130,642,592,644,695,,,,,,,
Lewisham,Studio,90,891,800,850,"1,000",,,,,,,
Lewisham,One Bedroom,560,"1,163","1,000","1,150","1,300",,,,,,,
Lewisham,Two Bedrooms,720,"1,372","1,235","1,350","1,500",,,,,,,
Lewisham,Three Bedrooms,270,"1,658","1,495","1,600","1,800",,,,,,,
Lewisham,Four or More Bedrooms,80,"2,289","1,900","2,200","2,500",,,,,,,
Merton,Room,10,632,550,642,732,,,,,,,
Merton,Studio,30,"1,102",900,980,"1,313",,,,,,,
Merton,One Bedroom,370,"1,231","1,100","1,250","1,340",,,,,,,
Merton,Two Bedrooms,520,"1,556","1,350","1,500","1,650",,,,,,,
Merton,Three Bedrooms,200,"1,979","1,700","1,900","2,200",,,,,,,
Merton,Four or More Bedrooms,150,"2,730","2,200","2,650","3,025",,,,,,,
Newham,Room,60,690,463,592,742,,,,,,,
Newham,Studio,60,"1,123","1,088","1,161","1,211",,,,,,,
Newham,One Bedroom,400,"1,222","1,100","1,200","1,395",,,,,,,
Newham,Two Bedrooms,600,"1,513","1,339","1,450","1,704",,,,,,,
Newham,Three Bedrooms,300,"1,753","1,558","1,700","1,900",,,,,,,
Newham,Four or More Bedrooms,100,"2,077","1,850","2,000","2,250",,,,,,,
Redbridge,Room,50,843,592,692,886,,,,,,,
Redbridge,Studio,40,740,651,750,850,,,,,,,
Redbridge,One Bedroom,290,"1,029",900,"1,040","1,150",,,,,,,
Redbridge,Two Bedrooms,490,"1,292","1,200","1,275","1,400",,,,,,,
Redbridge,Three Bedrooms,230,"1,589","1,450","1,600","1,700",,,,,,,
Redbridge,Four or More Bedrooms,90,"2,124","1,800","2,000","2,325",,,,,,,
Richmond upon Thames,Room,-,..,..,..,..,,,,,,,
Richmond upon Thames,Studio,50,982,850,950,"1,100",,,,,,,
Richmond upon Thames,One Bedroom,420,"1,287","1,150","1,250","1,398",,,,,,,
Richmond upon Thames,Two Bedrooms,810,"1,701","1,450","1,600","1,850",,,,,,,
Richmond upon Thames,Three Bedrooms,350,"2,241","1,695","2,000","2,600",,,,,,,
Richmond upon Thames,Four or More Bedrooms,210,"3,930","2,750","3,500","4,250",,,,,,,
Southwark,Room,30,668,592,642,767,,,,,,,
Southwark,Studio,40,"1,097","1,000","1,100","1,209",,,,,,,
Southwark,One Bedroom,390,"1,402","1,220","1,350","1,517",,,,,,,
Southwark,Two Bedrooms,480,"1,745","1,500","1,668","1,863",,,,,,,
Southwark,Three Bedrooms,160,"2,170","1,850","2,100","2,350",,,,,,,
Southwark,Four or More Bedrooms,80,"2,721","2,400","2,650","3,000",,,,,,,
Sutton,Room,10,556,500,533,592,,,,,,,
Sutton,Studio,60,776,750,775,800,,,,,,,
Sutton,One Bedroom,490,923,875,925,975,,,,,,,
Sutton,Two Bedrooms,650,"1,164","1,075","1,150","1,250",,,,,,,
Sutton,Three Bedrooms,190,"1,495","1,375","1,500","1,600",,,,,,,
Sutton,Four or More Bedrooms,60,"1,920","1,750","1,895","2,000",,,,,,,
Tower Hamlets,Room,50,661,592,652,737,,,,,,,
Tower Hamlets,Studio,110,"1,396","1,257","1,350","1,452",,,,,,,
Tower Hamlets,One Bedroom,520,"1,547","1,350","1,475","1,650",,,,,,,
Tower Hamlets,Two Bedrooms,590,"1,933","1,625","1,778","2,080",,,,,,,
Tower Hamlets,Three Bedrooms,210,"2,365","2,000","2,235","2,400",,,,,,,
Tower Hamlets,Four or More Bedrooms,50,"2,845","2,395","2,675","3,146",,,,,,,
Waltham Forest,Room,50,558,460,548,642,,,,,,,
Waltham Forest,Studio,40,825,701,850,925,,,,,,,
Waltham Forest,One Bedroom,390,"1,122","1,000","1,100","1,200",,,,,,,
Waltham Forest,Two Bedrooms,560,"1,364","1,250","1,325","1,450",,,,,,,
Waltham Forest,Three Bedrooms,250,"1,649","1,495","1,650","1,775",,,,,,,
Waltham Forest,Four or More Bedrooms,110,"2,026","1,830","2,000","2,200",,,,,,,
Wandsworth,Room,-,..,..,..,..,,,,,,,
Wandsworth,Studio,40,"1,060",972,"1,050","1,235",,,,,,,
Wandsworth,One Bedroom,410,"1,421","1,300","1,400","1,550",,,,,,,
Wandsworth,Two Bedrooms,730,"1,787","1,550","1,750","1,980",,,,,,,
Wandsworth,Three Bedrooms,300,"2,292","1,895","2,250","2,600",,,,,,,
Wandsworth,Four or More Bedrooms,210,"3,157","2,500","3,000","3,467",,,,,,,
Westminster,Room,10,876,750,888,953,,,,,,,
Westminster,Studio,130,"1,370","1,213","1,213","1,517",,,,,,,
Westminster,One Bedroom,460,"2,111","1,668","1,964","2,483",,,,,,,
Westminster,Two Bedrooms,500,"2,922","2,221","2,719","3,293",,,,,,,
Westminster,Three Bedrooms,170,"4,152","3,033","3,878","4,658",,,,,,,
Westminster,Four or More Bedrooms,50,"8,505","4,088","7,323","12,567",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,